SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,E_DEF_RATING,DEF_RATING,DEF_RATING_RANK,PACE,POSS
2003-04,1610612757,Portland Trail Blazers,82,41,41,0.5,102.2,103.5,22,87.54,7289
2003-04,1610612758,Sacramento Kings,82,55,27,0.671,102.2,103.2,21,94.25,7765
2003-04,1610612759,San Antonio Spurs,82,57,25,0.695,91.6,93.1,1,90.23,7428
2003-04,1610612760,Seattle SuperSonics,82,37,45,0.451,104.7,106.4,27,91.34,7542
2003-04,1610612761,Toronto Raptors,82,33,49,0.402,97.6,98.8,7,88.24,7348
2003-04,1610612762,Utah Jazz,82,42,40,0.512,100.4,101.3,13,88.26,7271
2003-04,1610612764,Washington Wizards,82,25,57,0.305,101.9,102.9,19,93.9,7751
2004-05,1610612737,Atlanta Hawks,82,13,69,0.159,108.4,109.0,29,93.09,7695
2004-05,1610612738,Boston Celtics,82,45,37,0.549,103.3,105.1,15,94.61,7839
2004-05,1610612766,Charlotte Bobcats,82,18,64,0.22,104.7,106.0,21,93.54,7743
2004-05,1610612741,Chicago Bulls,82,47,35,0.573,97.5,99.1,2,93.41,7707
2004-05,1610612739,Cleveland Cavaliers,82,42,40,0.512,102.5,104.7,13,90.72,7516
2004-05,1610612742,Dallas Mavericks,82,58,24,0.707,101.0,102.6,9,94.18,7749
2004-05,1610612743,Denver Nuggets,82,49,33,0.598,100.7,102.6,10,94.68,7792
2004-05,1610612765,Detroit Pistons,82,54,28,0.659,97.9,99.6,3,88.59,7364
2004-05,1610612744,Golden State Warriors,82,34,48,0.415,104.0,105.5,16,94.45,7830
2004-05,1610612745,Houston Rockets,82,51,31,0.622,98.9,100.1,4,90.18,7467
2004-05,1610612754,Indiana Pacers,82,44,38,0.537,101.9,102.7,11,88.71,7351
2004-05,1610612746,Los Angeles Clippers,82,37,45,0.451,103.4,104.5,12,90.66,7564
2004-05,1610612747,Los Angeles Lakers,82,34,48,0.415,108.0,109.6,30,92.34,7610
2004-05,1610612763,Memphis Grizzlies,82,45,37,0.549,99.9,101.5,5,89.65,7355
2004-05,1610612748,Miami Heat,82,59,23,0.72,99.8,102.2,7,91.73,7647
2004-05,1610612749,Milwaukee Bucks,82,30,52,0.366,106.7,108.1,28,92.14,7584
2004-05,1610612750,Minnesota Timberwolves,82,44,38,0.537,103.7,105.0,14,90.39,7440
2004-05,1610612751,New Jersey Nets,82,42,40,0.512,100.4,101.6,6,90.41,7501
2004-05,1610612740,New Orleans Hornets,82,18,64,0.22,105.1,105.9,20,88.97,7382
2004-05,1610612752,New York Knicks,82,33,49,0.402,106.5,107.2,25,92.12,7634
2004-05,1610612753,Orlando Magic,82,36,46,0.439,104.2,105.7,17,96.15,7891
2004-05,1610612755,Philadelphia 76ers,82,43,39,0.524,101.5,102.5,8,96.56,7985
2004-05,1610612756,Phoenix Suns,82,62,20,0.756,103.7,105.7,18,97.35,8034
2004-05,1610612757,Portland Trail Blazers,82,27,55,0.329,104.5,106.1,22,91.05,7481
2004-05,1610612758,Sacramento Kings,82,50,32,0.61,105.0,106.5,23,94.52,7819
2004-05,1610612759,San Antonio Spurs,82,59,23,0.72,95.8,97.8,1,89.96,7435
2004-05,1610612760,Seattle SuperSonics,82,52,30,0.634,106.1,108.0,27,89.24,7353
2004-05,1610612761,Toronto Raptors,82,33,49,0.402,105.9,107.2,24,94.01,7762
2004-05,1610612762,Utah Jazz,82,26,56,0.317,107.0,107.3,26,90.02,7409
2004-05,1610612764,Washington Wizards,82,45,37,0.549,104.2,105.9,19,94.8,7816
2005-06,1610612737,Atlanta Hawks,82,26,56,0.317,108.3,110.1,27,91.75,7607
2005-06,1610612738,Boston Celtics,82,33,49,0.402,104.0,105.6,20,93.27,7722
2005-06,1610612766,Charlotte Bobcats,82,26,56,0.317,104.2,105.6,21,94.57,7851
2005-06,1610612741,Chicago Bulls,82,41,41,0.5,100.2,102.7,8,93.59,7762
2005-06,1610612739,Cleveland Cavaliers,82,50,32,0.61,102.6,104.4,15,90.77,7510
2005-06,1610612742,Dallas Mavericks,82,60,22,0.732,101.9,103.2,9,89.3,7397
2005-06,1610612743,Denver Nuggets,82,44,38,0.537,102.1,104.1,13,94.9,7877
2005-06,1610612765,Detroit Pistons,82,64,18,0.78,100.2,101.7,5,87.98,7268
2005-06,1610612744,Golden State Warriors,82,34,48,0.415,103.5,104.9,17,94.43,7800
2005-06,1610612745,Houston Rockets,82,34,48,0.415,100.6,102.1,6,89.07,7358
2005-06,1610612754,Indiana Pacers,82,41,41,0.5,99.9,101.0,4,90.85,7470
2005-06,1610612746,Los Angeles Clippers,82,47,35,0.573,100.7,102.2,7,92.99,7675
2005-06,1610612747,Los Angeles Lakers,82,45,37,0.549,102.6,104.2,14,92.22,7632
2005-06,1610612763,Memphis Grizzlies,82,49,33,0.598,99.2,100.4,2,87.39,7232
2005-06,1610612748,Miami Heat,82,52,30,0.634,101.7,103.4,10,92.56,7622
2005-06,1610612749,Milwaukee Bucks,82,40,42,0.488,105.0,105.9,23,92.45,7646
2005-06,1610612750,Minnesota Timberwolves,82,33,49,0.402,101.7,103.5,12,89.58,7409
2005-06,1610612751,New Jersey Nets,82,49,33,0.598,99.8,100.9,3,91.17,7513
2005-06,1610612740,New Orleans/Oklahoma City Hornets,82,38,44,0.463,104.4,105.1,18,90.32,7442
2005-06,1610612752,New York Knicks,82,23,59,0.28,108.4,109.3,26,92.03,7633
2005-06,1610612753,Orlando Magic,82,36,46,0.439,104.7,106.6,25,89.12,7395
2005-06,1610612755,Philadelphia 76ers,82,38,44,0.463,104.8,106.5,24,93.91,7780
2005-06,1610612756,Phoenix Suns,82,54,28,0.659,102.9,104.7,16,96.92,8067
2005-06,1610612757,Portland Trail Blazers,82,21,61,0.256,109.4,110.3,28,88.88,7308
2005-06,1610612758,Sacramento Kings,82,44,38,0.537,102.3,103.5,11,93.26,7701
2005-06,1610612759,San Antonio Spurs,82,63,19,0.768,96.9,98.7,1,89.41,7382
2005-06,1610612760,Seattle SuperSonics,82,35,47,0.427,111.3,112.7,30,93.04,7689
2005-06,1610612761,Toronto Raptors,82,27,55,0.329,109.7,111.2,29,92.33,7678
2005-06,1610612762,Utah Jazz,82,41,41,0.5,104.5,105.1,19,89.4,7398
2005-06,1610612764,Washington Wizards,82,42,40,0.512,104.7,105.8,22,93.68,7742
2006-07,1610612737,Atlanta Hawks,82,30,52,0.366,105.5,107.0,23,90.98,7533
2006-07,1610612738,Boston Celtics,82,24,58,0.293,104.5,105.8,18,92.91,7680
2006-07,1610612766,Charlotte Bobcats,82,33,49,0.402,104.8,106.3,19,93.11,7758
2006-07,1610612741,Chicago Bulls,82,49,33,0.598,97.0,98.8,1,94.47,7790
2006-07,1610612739,Cleveland Cavaliers,82,50,32,0.61,98.9,100.6,4,91.59,7598
2006-07,1610612742,Dallas Mavericks,82,67,15,0.817,100.6,102.1,5,90.68,7476
2006-07,1610612743,Denver Nuggets,82,45,37,0.549,102.7,105.1,12,98.2,8093
2006-07,1610612765,Detroit Pistons,82,53,29,0.646,101.1,102.6,6,88.56,7332
2006-07,1610612744,Golden State Warriors,82,42,40,0.512,104.5,106.5,21,99.97,8228
2006-07,1610612745,Houston Rockets,82,52,30,0.634,97.5,99.7,3,91.7,7598
2006-07,1610612754,Indiana Pacers,82,35,47,0.427,103.0,104.4,9,93.43,7697
2006-07,1610612746,Los Angeles Clippers,82,40,42,0.488,102.8,104.2,8,91.92,7554
2006-07,1610612747,Los Angeles Lakers,82,42,40,0.512,106.1,107.5,25,94.58,7898
2006-07,1610612763,Memphis Grizzlies,82,22,60,0.268,109.7,110.9,30,94.77,7883
2006-07,1610612748,Miami Heat,82,44,38,0.537,102.0,104.6,11,90.61,7503
2006-07,1610612749,Milwaukee Bucks,82,28,54,0.341,109.1,110.3,29,93.33,7709
2006-07,1610612750,Minnesota Timberwolves,82,32,50,0.39,105.3,106.5,20,92.19,7689
2006-07,1610612751,New Jersey Nets,82,41,41,0.5,103.5,105.1,13,92.69,7682
2006-07,1610612740,New Orleans/Oklahoma City Hornets,82,39,43,0.476,104.0,105.4,14,91.19,7551
2006-07,1610612752,New York Knicks,82,33,49,0.402,106.3,107.4,24,91.89,7661
2006-07,1610612753,Orlando Magic,82,40,42,0.488,101.7,103.3,7,90.54,7465
2006-07,1610612755,Philadelphia 76ers,82,35,47,0.427,103.9,105.6,16,91.84,7606
2006-07,1610612756,Phoenix Suns,82,61,21,0.744,103.4,105.5,15,96.45,8002
2006-07,1610612757,Portland Trail Blazers,82,32,50,0.39,107.3,108.6,26,89.36,7431
2006-07,1610612758,Sacramento Kings,82,33,49,0.402,105.2,106.7,22,95.83,7898
2006-07,1610612759,San Antonio Spurs,82,58,24,0.707,97.4,99.4,2,90.22,7440
2006-07,1610612760,Seattle SuperSonics,82,31,51,0.378,107.5,108.9,27,92.92,7674
2006-07,1610612761,Toronto Raptors,82,47,35,0.573,103.2,104.4,10,93.86,7719
2006-07,1610612762,Utah Jazz,82,51,31,0.622,104.7,105.6,17,92.81,7661
2006-07,1610612764,Washington Wizards,82,41,41,0.5,108.0,109.1,28,95.33,7870
2007-08,1610612737,Atlanta Hawks,82,37,45,0.451,105.9,107.3,18,92.35,7634
2007-08,1610612738,Boston Celtics,82,66,16,0.805,96.2,98.1,1,91.88,7575
2007-08,1610612766,Charlotte Bobcats,82,32,50,0.39,106.8,108.2,22,92.75,7678
2007-08,1610612741,Chicago Bulls,82,33,49,0.402,104.2,106.0,14,94.04,7754
2007-08,1610612739,Cleveland Cavaliers,82,45,37,0.549,103.7,105.4,11,91.06,7540
2007-08,1610612742,Dallas Mavericks,82,51,31,0.622,103.1,104.7,8,91.38,7518
2007-08,1610612743,Denver Nuggets,82,50,32,0.61,103.2,105.5,12,100.58,8330
2007-08,1610612765,Detroit Pistons,82,59,23,0.72,100.0,101.5,4,88.54,7279
2007-08,1610612744,Golden State Warriors,82,48,34,0.585,106.6,108.5,24,99.96,8249
2007-08,1610612745,Houston Rockets,82,55,27,0.671,98.8,100.5,2,91.42,7525
2007-08,1610612754,Indiana Pacers,82,36,46,0.439,104.6,106.3,15,98.64,8111
2007-08,1610612746,Los Angeles Clippers,82,23,59,0.28,106.4,107.4,19,93.38,7698
2007-08,1610612747,Los Angeles Lakers,82,57,25,0.695,102.8,104.3,5,96.7,7974
2007-08,1610612763,Memphis Grizzlies,82,22,60,0.268,109.2,110.2,28,96.33,7945
2007-08,1610612748,Miami Heat,82,15,67,0.183,107.1,108.8,26,91.24,7538
2007-08,1610612749,Milwaukee Bucks,82,26,56,0.317,109.8,111.1,30,92.61,7654
2007-08,1610612750,Minnesota Timberwolves,82,22,60,0.268,108.9,110.0,27,92.84,7632
2007-08,1610612751,New Jersey Nets,82,34,48,0.415,106.6,107.7,20,92.96,7679
2007-08,1610612740,New Orleans Hornets,82,56,26,0.683,102.9,104.4,6,91.04,7517
2007-08,1610612752,New York Knicks,82,23,59,0.28,109.6,110.4,29,92.76,7676
2007-08,1610612753,Orlando Magic,82,52,30,0.634,102.7,104.9,10,94.02,7757
2007-08,1610612755,Philadelphia 76ers,82,40,42,0.488,103.4,104.7,7,91.56,7536
2007-08,1610612756,Phoenix Suns,82,55,27,0.671,104.9,107.0,17,97.72,8058
2007-08,1610612757,Portland Trail Blazers,82,41,41,0.5,105.5,106.8,16,89.1,7381
2007-08,1610612758,Sacramento Kings,82,38,44,0.463,107.2,108.6,25,95.81,7920
2007-08,1610612759,San Antonio Spurs,82,56,26,0.683,99.5,100.7,3,89.72,7377
2007-08,1610612760,Seattle SuperSonics,82,20,62,0.244,106.9,108.3,23,97.32,8030
2007-08,1610612761,Toronto Raptors,82,41,41,0.5,104.3,105.6,13,91.35,7543
2007-08,1610612762,Utah Jazz,82,54,28,0.659,104.0,104.9,9,94.64,7773
2007-08,1610612764,Washington Wizards,82,43,39,0.524,106.8,107.9,21,90.85,7533
2008-09,1610612737,Atlanta Hawks,82,47,35,0.573,104.6,106.7,16,90.44,7428
2008-09,1610612738,Boston Celtics,82,62,20,0.756,99.4,101.6,3,91.15,7560
2008-09,1610612766,Charlotte Bobcats,82,35,47,0.427,103.4,105.0,7,89.18,7401
2008-09,1610612741,Chicago Bulls,82,41,41,0.5,105.8,107.5,18,94.1,7816
2008-09,1610612739,Cleveland Cavaliers,82,66,16,0.805,99.4,101.6,2,89.61,7395
2008-09,1610612742,Dallas Mavericks,82,50,32,0.61,105.3,107.0,17,92.68,7651
2008-09,1610612743,Denver Nuggets,82,54,28,0.659,103.5,105.6,8,95.39,7848
2008-09,1610612765,Detroit Pistons,82,39,43,0.476,105.2,106.4,14,88.02,7302
2008-09,1610612744,Golden State Warriors,82,29,53,0.354,110.1,111.7,28,99.57,8247
2008-09,1610612745,Houston Rockets,82,53,29,0.646,101.4,102.9,4,91.23,7532
2008-09,1610612754,Indiana Pacers,82,36,46,0.439,106.5,108.2,20,97.34,8037
2008-09,1610612746,Los Angeles Clippers,82,19,63,0.232,108.8,110.1,26,93.3,7723
2008-09,1610612747,Los Angeles Lakers,82,65,17,0.793,101.9,103.5,6,95.49,7874
2008-09,1610612763,Memphis Grizzlies,82,24,58,0.293,106.8,108.2,21,91.22,7528
2008-09,1610612748,Miami Heat,82,43,39,0.524,104.7,106.5,15,90.8,7547
2008-09,1610612749,Milwaukee Bucks,82,34,48,0.415,104.9,106.3,13,93.89,7736
2008-09,1610612750,Minnesota Timberwolves,82,24,58,0.293,109.1,109.9,25,92.76,7645
2008-09,1610612751,New Jersey Nets,82,34,48,0.415,108.2,109.5,24,91.12,7530
2008-09,1610612740,New Orleans Hornets,82,49,33,0.598,104.1,105.8,10,88.74,7303
2008-09,1610612752,New York Knicks,82,32,50,0.39,108.4,109.4,23,97.82,8066
2008-09,1610612760,Oklahoma City Thunder,82,23,59,0.28,106.9,107.6,19,95.1,7841
2008-09,1610612753,Orlando Magic,82,59,23,0.72,98.9,101.3,1,92.99,7649
2008-09,1610612755,Philadelphia 76ers,82,41,41,0.5,104.7,106.1,12,91.3,7512
2008-09,1610612756,Phoenix Suns,82,46,36,0.561,108.5,110.4,27,96.99,7984
2008-09,1610612757,Portland Trail Blazers,82,54,28,0.659,104.5,106.1,11,88.02,7273
2008-09,1610612758,Sacramento Kings,82,17,65,0.207,111.9,113.4,30,95.29,7901
2008-09,1610612759,San Antonio Spurs,82,54,28,0.659,102.0,103.4,5,89.19,7395
2008-09,1610612761,Toronto Raptors,82,33,49,0.402,107.1,108.6,22,93.26,7697
2008-09,1610612762,Utah Jazz,82,48,34,0.585,104.7,105.8,9,94.47,7827
2008-09,1610612764,Washington Wizards,82,19,63,0.232,111.2,112.1,29,92.26,7576
2009-10,1610612737,Atlanta Hawks,82,53,29,0.646,104.0,106.0,14,90.77,7515
2009-10,1610612738,Boston Celtics,82,50,32,0.61,101.1,103.2,5,92.22,7609
2009-10,1610612766,Charlotte Bobcats,82,44,38,0.537,100.2,102.0,2,90.91,7519
2009-10,1610612741,Chicago Bulls,82,41,41,0.5,102.6,104.2,11,94.02,7794
2009-10,1610612739,Cleveland Cavaliers,82,61,21,0.744,101.5,103.8,8,91.77,7573
2009-10,1610612742,Dallas Mavericks,82,55,27,0.671,103.2,105.0,12,93.6,7757
2009-10,1610612743,Denver Nuggets,82,53,29,0.646,104.7,106.5,16,95.61,7876
2009-10,1610612765,Detroit Pistons,82,27,55,0.329,108.9,110.3,26,89.46,7379
2009-10,1610612744,Golden State Warriors,82,26,56,0.317,109.4,110.3,28,101.52,8338
2009-10,1610612745,Houston Rockets,82,42,40,0.512,105.5,106.8,17,94.91,7857
2009-10,1610612754,Indiana Pacers,82,32,50,0.39,104.2,106.0,13,97.77,8024
2009-10,1610612746,Los Angeles Clippers,82,29,53,0.354,107.1,109.1,25,93.44,7670
2009-10,1610612747,Los Angeles Lakers,82,57,25,0.695,101.1,102.7,3,93.73,7749
2009-10,1610612763,Memphis Grizzlies,82,40,42,0.488,107.6,109.0,22,94.29,7816
2009-10,1610612748,Miami Heat,82,47,35,0.573,100.9,103.4,6,90.3,7485
2009-10,1610612749,Milwaukee Bucks,82,46,36,0.561,100.9,101.9,1,92.6,7698
2009-10,1610612750,Minnesota Timberwolves,82,15,67,0.183,109.3,110.4,29,97.12,8002
2009-10,1610612751,New Jersey Nets,82,12,70,0.146,108.0,108.9,21,92.65,7628
2009-10,1610612740,New Orleans Hornets,82,37,45,0.451,107.3,108.9,19,93.53,7721
2009-10,1610612752,New York Knicks,82,29,53,0.354,109.1,110.3,27,95.03,7872
2009-10,1610612760,Oklahoma City Thunder,82,50,32,0.61,101.6,103.5,7,94.13,7774
2009-10,1610612753,Orlando Magic,82,59,23,0.72,100.2,102.8,4,92.54,7614
2009-10,1610612755,Philadelphia 76ers,82,27,55,0.329,107.6,108.9,20,92.72,7648
2009-10,1610612756,Phoenix Suns,82,54,28,0.659,106.9,109.1,24,96.43,7937
2009-10,1610612757,Portland Trail Blazers,82,50,32,0.61,104.0,106.1,15,88.64,7339
2009-10,1610612758,Sacramento Kings,82,25,57,0.305,107.2,109.1,23,94.78,7855
2009-10,1610612759,San Antonio Spurs,82,50,32,0.61,102.0,103.9,9,92.26,7605
2009-10,1610612761,Toronto Raptors,82,40,42,0.488,110.2,112.2,30,93.94,7746
2009-10,1610612762,Utah Jazz,82,53,29,0.646,102.9,104.0,10,94.68,7791
2009-10,1610612764,Washington Wizards,82,26,56,0.317,106.7,108.3,18,92.6,7656
2010-11,1610612737,Atlanta Hawks,82,44,38,0.537,104.6,105.8,14,90.22,7410
2010-11,1610612738,Boston Celtics,82,56,26,0.683,97.8,99.8,2,90.92,7500
2010-11,1610612766,Charlotte Bobcats,82,34,48,0.415,104.8,107.0,17,90.3,7444
2010-11,1610612741,Chicago Bulls,82,62,20,0.756,97.4,99.5,1,91.2,7542
2010-11,1610612739,Cleveland Cavaliers,82,19,63,0.232,109.1,110.9,29,93.76,7715
2010-11,1610612742,Dallas Mavericks,82,57,25,0.695,102.3,104.1,8,92.24,7581
2010-11,1610612743,Denver Nuggets,82,50,32,0.61,104.8,106.8,16,96.06,7888
2010-11,1610612765,Detroit Pistons,82,30,52,0.366,109.0,110.7,28,89.79,7428
2010-11,1610612744,Golden State Warriors,82,36,46,0.439,107.6,109.4,25,95.85,7916
2010-11,1610612745,Houston Rockets,82,43,39,0.524,106.2,107.9,18,95.14,7880
2010-11,1610612754,Indiana Pacers,82,37,45,0.451,103.4,105.0,12,95.5,7864
2010-11,1610612746,Los Angeles Clippers,82,32,50,0.39,106.3,108.0,19,93.35,7718
2010-11,1610612747,Los Angeles Lakers,82,57,25,0.695,101.3,103.3,6,91.78,7594
2010-11,1610612763,Memphis Grizzlies,82,46,36,0.561,102.5,104.5,11,92.42,7656
2010-11,1610612748,Miami Heat,82,58,24,0.707,100.7,102.9,5,91.63,7564
2010-11,1610612749,Milwaukee Bucks,82,35,47,0.427,99.9,101.5,3,90.57,7477
2010-11,1610612750,Minnesota Timberwolves,82,17,65,0.207,108.3,109.9,27,97.49,8034
2010-11,1610612751,New Jersey Nets,82,24,58,0.293,107.0,108.9,22,90.7,7563
2010-11,1610612740,New Orleans Hornets,82,46,36,0.561,102.5,104.4,9,89.4,7387
2010-11,1610612752,New York Knicks,82,42,40,0.512,106.9,109.0,23,96.47,7945
2010-11,1610612760,Oklahoma City Thunder,82,55,27,0.671,104.0,105.9,15,93.84,7824
2010-11,1610612753,Orlando Magic,82,52,30,0.634,99.1,101.8,4,91.55,7575
2010-11,1610612755,Philadelphia 76ers,82,41,41,0.5,102.5,103.8,7,92.78,7709
2010-11,1610612756,Phoenix Suns,82,40,42,0.488,107.4,109.4,26,95.18,7930
2010-11,1610612757,Portland Trail Blazers,82,48,34,0.585,104.2,105.7,13,89.13,7359
2010-11,1610612758,Sacramento Kings,82,24,58,0.293,106.3,108.4,20,95.76,7923
2010-11,1610612759,San Antonio Spurs,82,61,21,0.744,102.8,104.4,10,93.34,7691
2010-11,1610612761,Toronto Raptors,82,22,60,0.268,110.0,111.7,30,93.78,7723
2010-11,1610612762,Utah Jazz,82,39,43,0.476,107.3,108.8,21,92.03,7619
2010-11,1610612764,Washington Wizards,82,23,59,0.28,107.2,109.1,24,94.76,7871
2011-12,1610612737,Atlanta Hawks,66,40,26,0.606,98.6,100.4,6,90.88,6117
2011-12,1610612738,Boston Celtics,66,39,27,0.591,95.5,97.5,2,91.11,6055
2011-12,1610612766,Charlotte Bobcats,66,7,59,0.106,107.8,109.4,30,91.86,6080
2011-12,1610612741,Chicago Bulls,66,50,16,0.758,95.3,97.5,1,89.98,5982
2011-12,1610612739,Cleveland Cavaliers,66,21,45,0.318,106.0,107.6,27,92.34,6140
2011-12,1610612742,Dallas Mavericks,66,36,30,0.545,99.7,100.9,8,92.61,6195
2011-12,1610612743,Denver Nuggets,66,38,28,0.576,103.4,105.1,22,95.03,6346
2011-12,1610612765,Detroit Pistons,66,25,41,0.379,104.0,105.0,21,90.31,6000
2011-12,1610612744,Golden State Warriors,66,23,43,0.348,106.0,107.3,26,93.78,6212
2011-12,1610612745,Houston Rockets,66,34,32,0.515,102.1,104.0,16,92.82,6215
2011-12,1610612754,Indiana Pacers,66,42,24,0.636,100.4,102.1,10,91.68,6115
2011-12,1610612746,Los Angeles Clippers,66,40,26,0.606,102.9,104.8,18,89.98,5989
2011-12,1610612747,Los Angeles Lakers,66,41,25,0.621,101.7,103.2,12,91.72,6145
2011-12,1610612763,Memphis Grizzlies,66,41,25,0.621,98.9,100.6,7,91.82,6099
2011-12,1610612748,Miami Heat,66,46,20,0.697,97.1,99.2,4,92.07,6154
2011-12,1610612749,Milwaukee Bucks,66,31,35,0.47,102.4,104.1,17,94.68,6256
2011-12,1610612750,Minnesota Timberwolves,66,26,40,0.394,103.6,105.3,24,94.44,6268
2011-12,1610612751,New Jersey Nets,66,22,44,0.333,106.9,108.1,28,91.26,6036
2011-12,1610612740,New Orleans Hornets,66,21,45,0.318,102.3,103.9,15,89.27,5924
2011-12,1610612752,New York Knicks,66,36,30,0.545,98.4,100.2,5,93.91,6242
2011-12,1610612760,Oklahoma City Thunder,66,47,19,0.712,100.0,102.1,9,94.11,6273
2011-12,1610612753,Orlando Magic,66,37,29,0.561,101.7,103.4,13,89.75,5978
2011-12,1610612755,Philadelphia 76ers,66,35,31,0.53,96.6,98.2,3,90.68,6016
2011-12,1610612756,Phoenix Suns,66,33,33,0.5,103.8,105.2,23,93.61,6173
2011-12,1610612757,Portland Trail Blazers,66,28,38,0.424,103.7,105.3,25,92.24,6143
2011-12,1610612758,Sacramento Kings,66,22,44,0.333,106.8,108.7,29,95.56,6333
2011-12,1610612759,San Antonio Spurs,66,50,16,0.758,100.6,102.3,11,93.67,6220
2011-12,1610612761,Toronto Raptors,66,23,43,0.348,101.5,103.6,14,90.19,6008
2011-12,1610612762,Utah Jazz,66,36,30,0.545,103.6,104.9,20,92.53,6236
2011-12,1610612764,Washington Wizards,66,20,46,0.303,103.8,104.9,19,93.59,6182
2012-13,1610612737,Atlanta Hawks,82,44,38,0.537,101.8,103.4,10,93.56,7744
2012-13,1610612738,Boston Celtics,81,41,40,0.506,100.4,102.6,7,92.46,7652
2012-13,1610612751,Brooklyn Nets,82,49,33,0.598,103.6,104.8,16,89.88,7433
2012-13,1610612766,Charlotte Bobcats,82,21,61,0.256,108.9,110.3,30,92.49,7632
2012-13,1610612741,Chicago Bulls,82,45,37,0.549,100.3,101.9,6,90.35,7460
2012-13,1610612739,Cleveland Cavaliers,82,24,58,0.293,106.9,108.2,26,93.25,7666
2012-13,1610612742,Dallas Mavericks,82,41,41,0.5,104.0,105.4,18,95.09,7917
2012-13,1610612743,Denver Nuggets,82,57,25,0.695,102.0,104.2,13,95.92,7960
2012-13,1610612765,Detroit Pistons,82,29,53,0.354,105.6,107.2,24,91.68,7571
2012-13,1610612744,Golden State Warriors,82,47,35,0.573,102.6,104.2,12,95.64,7893
2012-13,1610612745,Houston Rockets,82,45,37,0.549,103.5,105.3,17,96.89,7988
2012-13,1610612754,Indiana Pacers,81,49,32,0.605,96.6,99.0,1,90.9,7420
2012-13,1610612746,Los Angeles Clippers,82,56,26,0.683,101.0,102.8,8,91.83,7552
2012-13,1610612747,Los Angeles Lakers,82,45,37,0.549,103.6,105.9,21,95.08,7830
2012-13,1610612763,Memphis Grizzlies,82,56,26,0.683,97.4,99.1,2,89.56,7394
2012-13,1610612748,Miami Heat,82,66,16,0.805,100.5,103.2,9,91.26,7572
2012-13,1610612749,Milwaukee Bucks,82,38,44,0.463,102.3,104.2,14,95.65,7909
2012-13,1610612750,Minnesota Timberwolves,82,31,51,0.378,102.9,104.0,11,93.94,7712
2012-13,1610612740,New Orleans Hornets,82,27,55,0.329,107.6,108.9,28,89.5,7379
2012-13,1610612752,New York Knicks,82,54,28,0.659,103.5,105.4,19,90.68,7462
2012-13,1610612760,Oklahoma City Thunder,82,60,22,0.732,99.2,101.2,4,94.58,7808
2012-13,1610612753,Orlando Magic,82,20,62,0.244,106.7,108.4,27,92.81,7646
2012-13,1610612755,Philadelphia 76ers,82,34,48,0.415,103.0,104.7,15,91.88,7566
2012-13,1610612756,Phoenix Suns,82,25,57,0.305,105.7,106.9,23,94.48,7793
2012-13,1610612757,Portland Trail Blazers,82,33,49,0.402,106.9,107.9,25,92.46,7649
2012-13,1610612758,Sacramento Kings,82,28,54,0.341,108.6,110.0,29,94.65,7804
2012-13,1610612759,San Antonio Spurs,82,58,24,0.707,99.2,100.3,3,95.31,7892
2012-13,1610612761,Toronto Raptors,82,34,48,0.415,104.7,106.4,22,91.26,7591
